site_name,site_id,cammlr_region,lon,lat,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference,is_outlier,log_count,decade,species_label,count_zscore,count_minmax,PC1,PC2
Joubin Islands,JOUB,48.1,-64.399,-64.774,gentoo penguin,14.0,2.0,1981,1980,59.0,1.0,chicks,ground,"<p id=""parmalee1987revised"" class=""reference"">Parmalee  D. F. and J. M. Parmalee (1987). &ldquo;Revised penguin numbers and distributions for Anvers Island  Antarctica&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 76  pp. 65&ndash;73.</p>",False,4.0943445622221,1980s,Gentoo,-0.8460283835251776,0.006012231781901109,-1.0129149870333443,-1.5318403932841145
Lions Rump,LION,48.1,-58.123,-62.133,gentoo penguin,,11.0,1981,1981,1348.0,1.0,nests,ground,"<p id=""korczak-abshire2013pygoscelid"" class=""reference"">Korczak-Abshire  M.  M. W&eogon;grzyn  P. J. Angiel  et al. (2013). &ldquo;Pygoscelid penguins breeding distribution and population trends at Lions Rump rookery  King George Island&rdquo;. In: <em>Polish Polar Research</em> 34.1  pp. 87&ndash;99. DOI: <a href=""https://doi.org/10.2478/popore-2013-0002"">10.2478/popore-2013-0002</a>.</p>",False,7.207118856207756,1980s,Gentoo,-0.05273880672520668,0.1396289001762206,2.12361573114332,-0.7323894740708836
Llano Point,LLAN,48.1,-58.446,-62.176,gentoo penguin,,11.0,1981,1981,1698.0,1.0,nests,ground,"<p id=""hinke2019census"" class=""reference"">Hinke  J. T. (2019). &ldquo;Census Data of Colonial Penguins in Antarctica from 1977 to 2015 (NCEI Accession 0185113)&rdquo;. NOAA National Centers for Environmental Information. DOI: <a href=""https://doi.org/10.25921/58yq-7g68"">10.25921/58yq-7g68</a>.</p>",False,7.4377951216719325,1980s,Gentoo,0.16266177657967293,0.1759096092049342,2.1243200126698554,-0.48941030055921014
Point Thomas (Rakusa Point),PTHO,48.1,-58.462,-62.163,gentoo penguin,,11.0,1981,1981,760.0,2.0,nests,ground,"<p id=""ciaputa1999long-term"" class=""reference"">Ciaputa  P. and K. Sierakowski (1999). &ldquo;Long-term population changes of Ad&eacute;lie  chinstrap  and gentoo penguins in the regions of SSSI No. 8 and SSSI No. 34  King George Island  Antarctica&rdquo;. In: <em>Polish Polar Research</em> 20.4  pp. 355&ndash;365.</p>",False,6.634633357861686,1980s,Gentoo,-0.41461178667740445,0.07867730900798175,1.905792290170447,-1.3938049601395848
Cape Shirreff,SHIR,48.1,-60.787,-62.458,gentoo penguin,,11.0,1981,1981,843.0,4.0,adults,unknown,"<p id=""meeting2023management149"" class=""reference"">Antarctic Treaty Consultative Meeting (2023). <em>Management Plan for Antarctic Specially Protected Area (ASPA) No. 149: Cape Shirreff And San Telmo Island  Livingston Island  South Shetland Islands</em>. Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting Measure 12. Helsinki  Finland: Antarctic Treaty System.</p>",False,6.738152494595957,1980s,Gentoo,-0.3635310769222473,0.08728102000621955,1.3761726052670131,-1.6542924469216358
Glandaz Point,GLAN,48.1,-63.959,-65.091,gentoo penguin,23.0,12.0,1982,1982,75.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,4.330733340286331,1980s,Gentoo,-0.8361814997169545,0.0076707784803565875,-1.0844847290611415,-1.4139692660583179
Llano Point,LLAN,48.1,-58.446,-62.176,gentoo penguin,,11.0,1982,1982,1536.0,1.0,nests,ground,"<p id=""hinke2019census"" class=""reference"">Hinke  J. T. (2019). &ldquo;Census Data of Colonial Penguins in Antarctica from 1977 to 2015 (NCEI Accession 0185113)&rdquo;. NOAA National Centers for Environmental Information. DOI: <a href=""https://doi.org/10.25921/58yq-7g68"">10.25921/58yq-7g68</a>.</p>",False,7.337587743538596,1980s,Gentoo,0.06296207802141437,0.15911682388307247,2.062081571393825,-0.5624191741254329
Petermann Island,PETE,48.1,-64.137,-65.176,gentoo penguin,22.0,12.0,1982,1982,375.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,5.929589143389895,1980s,Gentoo,-0.651552428312772,0.03876852907639681,-0.9522468575878901,-0.7258308906158218
Pleneau Island,PLEN,48.1,-64.056,-65.104,gentoo penguin,23.0,12.0,1982,1982,500.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.2166061010848646,1980s,Gentoo,-0.5746236485610293,0.051725925158080235,-0.8483930136990875,-0.5933760045116407
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,11.0,1983,1983,1656.0,1.0,nests,ground,"<p id=""meeting2009management150"" class=""reference"">Antarctic Treaty Consultative Meeting (2009). <em>Management plan for Antarctic Specially Protected Area No. 150: Ardley Island  Maxwell Bay  King George Island (25 De Mayo)</em>. Final Report of the Thirty-second Antarctic Treaty Consultative Meeting Measure 9. Baltimore  United States: Antarctic Treaty System.</p>",False,7.4127640174265625,1980s,Gentoo,0.1368137065830874,0.17155592412148857,1.95319398945227,-0.4266729827829525
